serverTimestamp,day_part_x,user_id,numberRating,highestRating,lowestRating,medianRating,sdRating,numberLowRating,numberMediumRating,numberHighRating,numberMessageReceived,numberMessageRead,readAllMessage,reward,timestamp,day_part_y,action,message,day_part_numeric
2020-12-24,0,AAAAAACI,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,2020-12-25 00:23:55.013974,morning,1.0,It is good that you take part in Moodbuster Lite. You can commend yourself for that!,0.0
2020-12-05,1,AAAAAAAU,0,0,0,0.0,0.02602517243469702,0,0,0,2,0,0,0.0,2020-12-06 01:37:19.990614,morning,1.0,It is good that you take part in Moodbuster Lite. You can commend yourself for that!,1.0
2020-10-24,0,AAAAAAA9,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,2020-10-24 17:04:29.361611,morning,1.0,No message was sent!,0.0
2021-01-06,1,AAAAAAA0,0,0,0,0.0,0.0,0,0,0,2,0,0,0.0,2021-01-07 10:32:29.319050,afternoon,1.0,Do you know you can always review the material of sessions if you need it?,1.0
2020-11-21,1,AAAAAACR,1,3,3,2.7,0.0,0,1,0,2,2,1,0.8272204312758247,2020-11-21 18:05:26.592762,afternoon,2.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,1.0
2020-11-12,0,AAAAAACA,0,0,0,0.0,0.25601205405979843,0,0,0,1,0,0,0.0,2020-11-13 00:48:38.936400,afternoon,1.0,Reminders may help you to not forget about the pleasant activities.,0.0
2020-11-12,0,AAAAAABJ,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,2020-11-12 11:15:18.788000,morning,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,0.0
2021-01-02,1,AAAAAAAC,0,0,0,0.0,0.0,0,0,0,2,0,0,0.0,2021-01-02 17:03:05.478387,afternoon,1.0,"In your calendar, you can see the activities which you planned in the past.",1.0
2020-10-21,2,AAAAAACD,0,0,0,0.0,0.011683364127336343,0,0,0,3,0,0,0.0,2020-10-22 08:54:45.022153,evening,2.0,It’s great that you are making time for yourself to improve your mood!,2.0
2020-11-30,0,AAAAAABW,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0836077543261246,2020-11-30 11:53:16.641403,morning,0.0,It’s great that you are making time for yourself to improve your mood!,0.0
2020-12-18,1,AAAAAAAF,0,1,0,0.4,0.13860468803076637,0,0,0,2,0,0,0.19622151550582126,2020-12-19 06:02:24.895591,afternoon,2.0,It’s great that you are making time for yourself to improve your mood!,1.0
2020-10-28,1,AAAAAAA8,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,2020-10-28 20:57:29.108132,afternoon,1.0,Do not forget to rate your mood three times per day.,1.0
2021-01-04,0,AAAAAAAJ,0,0,0,0.3,0.1526300558138436,0,0,0,1,0,0,0.0,2021-01-04 19:00:42.554905,morning,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,0.0
2020-12-22,0,AAAAAAAI,0,0,0,0.3,0.09364889815559181,0,0,0,1,0,0,0.0,2020-12-22 17:21:00.586778,morning,1.0,It’s great that you are making time for yourself to improve your mood!,0.0
2020-11-22,0,AAAAAAAG,0,0,0,0.0,0.0019320292766935136,0,0,0,0,0,0,0.029923688121055315,2020-11-22 20:46:01.552394,morning,0.0,It’s great that you are making time for yourself to improve your mood!,0.0
2021-01-01,0,AAAAAABO,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2021-01-01 05:48:54.688011,morning,0.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,0.0
2020-11-08,0,AAAAAAA3,0,0,0,0.5,0.0,0,0,0,1,0,0,0.05824748661129754,2020-11-08 13:06:25.973421,morning,1.0,It is good that you take part in Moodbuster Lite. You can commend yourself for that!,0.0
2020-11-09,2,AAAAAABR,0,1,1,1.2,0.02064647331688407,0,0,0,3,0,0,0.2507613708027304,2020-11-09 23:21:49.429047,evening,2.0,It is good that you take part in Moodbuster Lite. You can commend yourself for that!,2.0
