serverTimestamp,day_part_x,user_id,numberRating,highestRating,lowestRating,medianRating,sdRating,numberLowRating,numberMediumRating,numberHighRating,numberMessageReceived,numberMessageRead,readAllMessage,reward,timestamp,day_part_y,action,message,day_part_numeric
2020-10-06,2,AAAAAACI,0,0,0,0.0,0.0,0,0,0,2,0,0,0.00021930752238129883,2020-10-07 00:58:05.108085,evening,0.0,No message was sent!,2.0
2020-12-18,1,AAAAAAAU,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,2020-12-25 04:37:27.652201,afternoon,1.0,It is good that you take part in Moodbuster Lite. You can commend yourself for that!,1.0
2020-12-21,0,AAAAAABI,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,2020-12-20 17:15:46.833107,morning,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,0.0
2020-10-19,2,AAAAAAA9,2,6,6,5.9,0.0,0,0,1,3,0,0,0.47816329537118907,2020-10-23 10:50:22.658569,evening,2.0,Did you forget what pleasant activities to do? You can always check your notes on the website.,2.0
2020-11-05,2,AAAAAAA0,0,0,0,0.0,0.00013642506750734221,0,0,0,3,0,0,0.0,2020-11-03 14:46:38.650284,evening,2.0,It is sometimes helpful to re-read the content of the training to refresh your knowledge.,2.0
2020-10-21,2,AAAAAACR,0,0,0,0.0,2.5928419664153725e-05,0,0,0,3,1,1,0.49727047429779314,2020-10-14 07:01:51.387948,evening,1.0,It’s great that you are making time for yourself to improve your mood!,2.0
2020-11-24,2,AAAAAACA,0,0,0,0.0,0.0,0,0,0,3,0,0,0.00028232251400498354,2020-11-16 21:08:19.334441,evening,2.0,Do you know you can always review the material of sessions if you need it?,2.0
2020-12-17,1,AAAAAACK,0,0,0,0.0,0.0,0,0,0,2,0,0,0.0,2020-12-14 00:54:37.509560,afternoon,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,1.0
2020-12-18,1,AAAAAABJ,0,0,0,0.0,6.67160019695092e-05,0,0,0,2,0,0,0.0,2020-12-20 08:52:44.425815,afternoon,1.0,It is good that you take part in Moodbuster Lite. You can commend yourself for that!,1.0
2020-11-17,2,AAAAAAAC,0,0,0,0.0,0.0,0,0,0,3,0,0,0.0,2020-11-24 11:04:03.983528,evening,2.0,It is sometimes helpful to re-read the content of the training to refresh your knowledge.,2.0
2020-10-09,2,AAAAAACD,0,0,0,0.0,0.00011059012088676299,0,0,0,3,1,1,0.24719019545543638,2020-10-27 20:46:27.386440,evening,1.0,"In your calendar, you can see the activities which you planned in the past.",2.0
2020-10-20,0,AAAAAABW,0,0,0,0.0,4.87910136864948e-05,0,0,0,1,1,1,0.4987375162904536,2020-10-20 01:54:45.633297,morning,1.0,It’s great that you are making time for yourself to improve your mood!,0.0
2020-10-29,0,AAAAAAAF,0,0,0,0.0,0.0,0,0,0,1,1,1,0.5005015072823414,2020-10-30 11:23:06.117820,morning,1.0,It’s great that you are making time for yourself to improve your mood!,0.0
2020-10-25,1,AAAAAAA8,0,0,0,0.0,0.0,0,0,0,2,0,0,3.609947492504347e-05,2020-10-21 12:46:44.541825,afternoon,1.0,It’s great that you are making time for yourself to improve your mood!,1.0
2020-10-06,2,AAAAAAAJ,0,0,0,0.0,4.1854075814874455e-05,0,0,0,1,0,0,0.0,2020-10-14 09:51:24.929764,evening,0.0,No message was sent!,2.0
2020-10-27,1,AAAAAAAI,0,0,0,0.0,0.0,0,0,0,2,0,0,0.00018454285273150032,2020-11-04 12:43:06.116741,afternoon,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,1.0
2020-12-24,0,AAAAAAAG,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,2020-12-31 11:20:25.043846,morning,1.0,It’s great that you are making time for yourself to improve your mood!,0.0
2020-10-13,2,AAAAAABO,0,0,0,0.0,0.0,0,0,0,3,0,0,0.4990928395378108,2020-10-14 21:39:32.884078,evening,2.0,Did you forget what pleasant activities to do? You can always check your notes on the website.,2.0
2020-11-25,2,AAAAAAA3,0,0,0,0.0,0.0,0,0,0,3,0,0,0.00018282758192761297,2020-11-26 09:49:13.998409,evening,2.0,Reminders may help you to not forget about the pleasant activities.,2.0
2020-11-07,0,AAAAAABR,0,0,0,0.0,5.6637172343007615e-05,0,0,0,1,0,0,0.0,2020-11-09 09:14:54.841622,morning,1.0,It’s great that you are making time for yourself to improve your mood!,0.0
2020-10-29,0,AAAAAABT,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,2020-11-03 18:34:24.134199,morning,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,0.0
2021-01-05,0,AAAAAACX,0,0,0,0.0,4.2824379449467034e-05,0,0,0,1,0,0,5.268477662344217e-06,2021-01-06 17:03:16.438605,morning,1.0,It is good that you take part in Moodbuster Lite. You can commend yourself for that!,0.0
2020-12-07,1,AAAAAABX,0,0,0,0.0,7.865123447656709e-05,0,0,0,2,0,0,0.0,2020-12-17 09:41:39.531953,afternoon,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,1.0
2020-12-11,0,AAAAAAAR,0,0,0,0.0,1.526314357345459e-05,0,0,0,1,0,0,0.0,2020-12-11 18:40:42.009863,morning,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,0.0
2020-10-07,2,AAAAAAAO,0,0,0,0.0,3.108281814755987e-05,0,0,0,3,0,0,0.0005072921436988152,2020-10-17 06:08:54.332403,evening,2.0,Did you forget what pleasant activities to do? You can always check your notes on the website.,2.0
2020-12-11,0,AAAAAAC0,0,0,0,0.0,0.0,0,0,0,1,0,0,0.0,2020-12-12 19:15:45.841316,morning,1.0,It’s great that you are making time for yourself to improve your mood!,0.0
2020-11-14,0,AAAAAABM,0,0,0,0.0,0.0,0,0,0,1,0,0,0.00024693190153519885,2020-11-08 18:40:01.906513,morning,1.0,It’s great that you are making time for yourself to improve your mood!,0.0
2020-11-24,2,AAAAAAA1,0,0,0,0.0,0.0,0,0,0,3,0,0,0.2135697919947268,2020-11-16 08:35:24.915208,evening,2.0,It is good to track what pleasant activities you did.,2.0
2020-10-27,1,AAAAAAB0,0,0,0,0.0,1.721281428994914e-05,0,0,0,2,0,0,0.00016889698382850245,2020-10-27 22:10:38.775570,afternoon,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,1.0
2020-10-16,2,AAAAAABF,0,0,0,0.0,0.0,0,0,0,3,0,0,1.2797122465406646e-05,2020-10-18 09:01:02.020786,evening,2.0,"In your calendar, you can see the activities which you planned in the past.",2.0
2020-11-25,0,AAAAAABN,0,0,0,0.0,4.96223874420418e-05,0,0,0,1,0,0,8.089984805802258e-05,2021-01-11 13:01:41.903823,morning,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,0.0
2020-11-19,0,AAAAAACB,0,0,0,0.0,0.0,0,0,0,1,0,0,4.831797037561742e-05,2020-11-23 10:39:18.155745,morning,1.0,Good that you are still rating your mood on a regular basis! Keep up the good work!,0.0
